Hello
Hide Table  Update CSV
category;mcc;edited_description
undefined;3750;CROWNE PLAZA HOTELS
undefined;3751;HOMEWOOD SUITES
undefined;3752;PEABODY HOTELS
undefined;3753;GREENBRIAH RESORTS
undefined;3754;AMELIA ISLAND PLANATION
undefined;3755;THE HOMESTEAD
undefined;3756;SOUTH SEAS RESORTS
undefined;3757;Hotels/Motels/Inns/Resorts
undefined;3758;Hotels/Motels/Inns/Resorts
undefined;3759;Hotels/Motels/Inns/Resorts
undefined;3760;Hotels/Motels/Inns/Resorts
undefined;3761;Hotels/Motels/Inns/Resorts
undefined;3762;Hotels/Motels/Inns/Resorts
undefined;3763;Hotels/Motels/Inns/Resorts
undefined;3764;Hotels/Motels/Inns/Resorts
undefined;3765;Hotels/Motels/Inns/Resorts
undefined;3766;Hotels/Motels/Inns/Resorts
undefined;3767;Hotels/Motels/Inns/Resorts
undefined;3768;Hotels/Motels/Inns/Resorts
undefined;3769;Hotels/Motels/Inns/Resorts
undefined;3770;Hotels/Motels/Inns/Resorts
undefined;3771;Hotels/Motels/Inns/Resorts
undefined;3772;Hotels/Motels/Inns/Resorts
undefined;3773;Hotels/Motels/Inns/Resorts
undefined;3774;Hotels/Motels/Inns/Resorts
undefined;3775;Hotels/Motels/Inns/Resorts
undefined;3776;Hotels/Motels/Inns/Resorts
undefined;3777;Hotels/Motels/Inns/Resorts
undefined;3778;Hotels/Motels/Inns/Resorts
undefined;3779;Hotels/Motels/Inns/Resorts
undefined;3780;Hotels/Motels/Inns/Resorts
undefined;3781;Hotels/Motels/Inns/Resorts
undefined;3782;Hotels/Motels/Inns/Resorts
undefined;3783;Hotels/Motels/Inns/Resorts
undefined;3784;Hotels/Motels/Inns/Resorts
undefined;3785;Hotels/Motels/Inns/Resorts
undefined;3786;Hotels/Motels/Inns/Resorts
undefined;3787;Hotels/Motels/Inns/Resorts
undefined;3788;Hotels/Motels/Inns/Resorts
undefined;3789;Hotels/Motels/Inns/Resorts
undefined;3790;Hotels/Motels/Inns/Resorts
undefined;3816;Home2Suites
undefined;3832;Curio Hotels
undefined;3833;Canopy
undefined;3835;* MASTERS ECONOMY INNS
undefined;4011;Railroads
undefined;4111;Local/Suburban Commuter Passenger Transportation – Railroads, Feries, Local Water Transportation.
undefined;4112;Passenger Railways
undefined;4119;Ambulance Services
undefined;4121;Taxicabs and Limousines
undefined;4131;Bus Lines, Including Charters, Tour Buses
undefined;4214;Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local
undefined;4215;Courier Services – Air or Ground, Freight forwarders
undefined;4225;Public warehousing, Storage
undefined;4411;Cruise and Steamship Lines
undefined;4457;Boat Rentals and Leases
undefined;4468;Marinas, Marine Service, and Supplies
undefined;4511;Airlines, Air Carriers ( not listed elsewhere)
undefined;4582;Airports, Airport Terminals, Flying Fields
undefined;4722;Travel Agencies and Tour Operations
undefined;4723;Package Tour Operators (For use in Germany only)
undefined;4784;Toll and Bridge Fees
undefined;4789;Transportation Services, Not elsewhere classified)
undefined;4812;Telecommunications Equipment including telephone sales
undefined;4814;Fax services, Telecommunication Services
undefined;4815;VisaPhone
undefined;4816;Computer Network Services
undefined;4821;Telegraph services
undefined;4829;Money Orders – Wire Transfer
undefined;4899;Cable and other pay television (previously Cable Services)
undefined;4900;Electric, Gas, Sanitary and Water Utilities
undefined;5013;Motor vehicle supplies and new parts
undefined;5021;Office and Commercial Furniture
undefined;5039;Construction Materials, Not Elsewhere Classified
undefined;5044;Office, Photographic, Photocopy, and Microfilm Equipment
undefined;5045;Computers, Computer Peripheral Equipment, Software
undefined;5046;Commercial Equipment, Not Elsewhere Classified
